Sex,PhDSchool,FirstPosition,FirstType,CurrentPosition,CurrentPositionType,Dissertation,PrimaryAreaOfStudy,YearGraduated,SoughtAcademicEmployment?,Other Job ,Other Academic Location,Other Academic Field
Male,"University of Michigan, Ann Arbor","American University, Beirut",Tenure Track/Permanent,"American University, Beirut",Tenure Track/Permanent,Panpsychism: An Exploration and Defense,Philosophy of Mind,2007,,,,
Male,Georgetown University,"American University, Beirut",Post Doc/Researcher,"American University, Beirut",Post Doc/Researcher,Unknown,Unknown,2012,,,,
Male,"University of North Carolina, Chapel Hill",Ithaca College,Lecturer,"American University, Beirut",Tenured,Fear and Loathing in Deliberation,Epistemology,2003,,,,
Male,"Indiana University, Bloomington","American University, Cairo",Lecturer,"American University, Cairo",Lecturer,Formal Ontology in the 14th Century: The Chatton Principle,Metaphysics,2002,,,,
Male,Johns Hopkins University,"American University, Cairo",Tenure Track/Permanent,"American University, Cairo",Tenure Track/Permanent,Unknown,Unknown,2006,,,,
Unknown,Yale University,Amherst College,Tenure Track/Permanent,Amherst College,Tenure Track/Permanent,Unknown,Unknown,2004,,,,
Male,Cornell University,Haverford College,Lecturer,Amherst College,Lecturer,Political Obligation and Democratic Community: An Account of the Democratic Citizen's Duty to Uphold the Law,Social and Political Philosophy,2010,,,,
Female,Cornell University,Unknown,Unknown,Amsterdam University College,Lecturer,Of Contradictions and Tautlogies,Philosophy of Language,2007,,,,
Unknown,"University of Minnesota, Minneapolis-St. Paul",Anoka Ramsey Community College,Lecturer,Anoka Ramsey Community College,Lecturer,Unknown,Unknown,2011,,,,
Unknown,"University of Minnesota, Minneapolis-St. Paul",Anoka Ramsey Community College,Lecturer,Anoka Ramsey Community College,Lecturer,Unknown,Unknown,2013,,,,
Female,University of Southern California,Antelope Valley College,Tenure Track/Permanent,Antelope Valley College,Tenured,Unknown,Metaphysics,2009,,,,
Male,University of Toronto,Appalachian State University,Tenure Track/Permanent,Appalachian State University,Tenure Track/Permanent,Conceptual Atomism:  Towards a Plausible Theory of Concepts,Philosophy of Language,2005,Yes,,,
Unknown,"University of Texas, Austin",Appalachian State University,Tenure Track/Permanent,Appalachian State University,Tenured,Unknown,Unknown,1994,,,,
Unknown,University of Toronto,Appalachian State University,Tenure Track/Permanent,Appalachian State University,Tenure Track/Permanent,Unknown,Unknown,2001,Yes,,,
Female,University of Pennsylvania,University of Pennsylvania,Lecturer,Appalachian State University,Tenure Track/Permanent,Unknown,Unknown,2010,,,,
Male,"Indiana University, Bloomington",Not in Academic Philosophy,Not in Academic Philosophy,Aquinas College,Lecturer,"Searching for Normativity,",Ethics,2008,,,,
Male,University of Notre Dame,University of Notre Dame,Post Doc/Researcher,Aquinas College,Tenure Track/Permanent,The Problem of Human Dignity,Ethics,2012,,,,
Male,"University of Colorado, Boulder",Arapahoe Community College,Lecturer,Arapahoe Community College,Lecturer,"""The Theodicy of John Hick: A Critical Defense"" under Ed Miller",Metaphysics,1999,,,,
Male,"University of California, San Diego",Arizona State University,Tenure Track/Permanent,Arizona State University,Tenure Track/Permanent,"Laws, Causes, and Kinds: Toward a Solution to the Biology Problem",Philosophy of Science,2006,,,,
Unknown,University of Iowa,Arizona State University,Lecturer,Arizona State University,Lecturer,Persons as Artifacts: An Exploration of Social Ontology,Metaphysics,2007,,,,
Unknown,"University of Illinois, Chicago",Arizona State University,Lecturer,Arizona State University,Lecturer,The Logical Interpretation and the Measurement Problem,Philosophy of Logic,2007,,,,
Male,"University of Maryland, College Park",Arizona State University,Lecturer,Arizona State University,Lecturer,The Metaphysics of Multi-Level Explanation,Metaphysics,2013,,,,
Male,"University of Michigan, Ann Arbor",Arizona State University,Tenure Track/Permanent,Arizona State University,Lecturer,"Truth, Modality, and Ontology",Metaphysics,1999,,,,
Male,"Rutgers University, New Brunswick",Arizona State University,Tenure Track/Permanent,Arizona State University,Tenure Track/Permanent,Unknown,Philosophy of Language,2006,Yes,,,
Unknown,"University of California, Santa Barbara",Arizona State University,Tenure Track/Permanent,Arizona State University,Tenure Track/Permanent,Unknown,Unknown,,,,,
Unknown,Princeton University,New York University,Lecturer,Arizona State University,Tenure Track/Permanent,the experience of duration,Metaphysics,2012,,,,
Male,"University of Massachusetts, Amherst",Unknown,Unknown,Arizona State University,Tenured,Unknown,Unknown,1988,,,,
Male,"University of Massachusetts, Amherst",Unknown,Unknown,Arizona State University,Tenured,Unknown,Unknown,1991,,,,
Male,University of Notre Dame,Valparaiso University,Lecturer,Arizona State University,Lecturer,Rendering Free Will Intelligible: A Defense of Agent-Causation,Metaphysics,2006,,,,
Male,University of Arizona,Arkansas State University,Tenure Track/Permanent,Arkansas State University,Tenure Track/Permanent,Models of Knowledge for Resource Bounded Agents,Epistemology,2012,,,,
Unknown,"University of Illinois, Chicago",Arkansas State University,Tenure Track/Permanent,Arkansas State University,Tenure Track/Permanent,The Practice of Personhood: Understanding Individual Responsibility of Oppression,Social and Political Philosophy,2005,,,,
Female,Purdue University,Armstrong Atlantic University,Lecturer,Armstrong Atlantic University,Lecturer,The Metaphysics of Causation in the Creation Accounts of Avicenna and Aquinas,Metaphysics,2013,,,,
Male,Northwestern University,Art Institute of Chicago,Lecturer,Art Institute of Chicago,Lecturer,Nietzsche's Overcoming of Schopenhauer's Pessimism,Continental Philosophy,2012,Yes,,,
Female,University of Notre Dame,Bridgewater State College,Tenure Track/Permanent,Asbury University,Tenure Track/Permanent,Supererogation for a Virtue Ethicist,Ethics,2011,,,,
Unknown,Cornell University,Oxford University,Post Doc/Researcher,Asbury University,Lecturer,Francisco Suárez on Acting for the Sake,History of Philosophy,2011,,,,
Male,University of Notre Dame,University of Notre Dame,Lecturer,Ashford University,Tenured,"History, Contingency, and Virtue",Ethics,2011,,,,
Male,Purdue University,Ashland University,Tenure Track/Permanent,Ashland University,Tenure Track/Permanent,"Concurrentism: A Philosophical Explanation,",Metaphysics,2003,,,,
Male,University of Notre Dame,University of Notre Dame,Post Doc/Researcher,Asuza Pacific University,Tenure Track/Permanent,What Propositions Correspond To and how They Do It,Philosophy of Language,2010,,,,
Male,University of Alberta,University of Alberta,Lecturer,Athabasca University,Lecturer,Unknown,Unknown,2006,,,,
Male,Brown University,Unknown,Unknown,Attorney at Fulbright & Jaworski,Not In Academic Philosophy,The Fitting and the Virtuous in Stoic Ethics,Ancient,2008,no,attorney,,
Male,"University of California, Irvine",Auburn University,Lecturer,Auburn University,Lecturer,"""Seeing Particulars""",Metaphysics,2011,,,,
Male,University of Chicago,Auburn University,Tenure Track/Permanent,Auburn University,Tenure Track/Permanent,"Dissertation: ""Frege, singular terms and logical objects"" - Abstract PDF",Philosophy of Logic,2012,,,,
Female,University of Chicago,Auburn University,Tenure Track/Permanent,Auburn University,Tenure Track/Permanent,"Dissertation: ""Kierkegaard: Indirect Communication and Ignorant Knowledge"" - Abstract PDF",Epistemology,2011,,,,
Female,"University of California, San Diego",Auburn University,Lecturer,Auburn University,Lecturer,Political Obligation through Connectedness,Social and Political Philosophy,2009,,,,
Female,Johns Hopkins University,Auburn University,Lecturer,Auburn University,Lecturer,Unknown,Unknown,2010,,,,
Unknown,University of British Columbia,Auburn University,Lecturer,Auburn University,Lecturer,Unknown,Unknown,2012,,,,
Female,University of Virginia,Auburn University,Lecturer,Auburn University,Lecturer,Unknown,Unknown,2000,,,,
Male,"University of North Carolina, Chapel Hill",Auburn University,Lecturer,Auburn University,Lecturer,Where Concepts Come From,Philosophy of Mind,2008,,,,
Male,Ohio State University,Quincy University,Lecturer,Auburn University,Tenure Track/Permanent,"""Divine Attitudes and the Nature of Morality: A Defense of a Theistic Account of Deontic Properties""",Ethics,2009,Yes,,,
Male,"Rutgers University, New Brunswick",Rice University,Lecturer,Auburn University,Lecturer,Unknown,Metaphysics,1998,Yes,,,
Female,Harvard University,University of Chicago,Post Doc/Researcher,Auburn University,Tenure Track/Permanent,Self-Imagination & Judgement,Philosophy of Mind,2006,,,,
Male,University of Pittsburgh,University of Utah,Lecturer,Auburn University,Tenure Track/Permanent,"""Mental causation: natural, but not naturalized"" (Haugeland)",Philosophy of Mind,2001,,,,
Unknown,University of Rochester,Unknown,Unknown,Auburn University,Tenure Track/Permanent,Unknown,History of Philosophy,1994,Yes,,,
Unknown,"University of Wisconsin, Madison",Augustana College,Tenure Track/Permanent,Augustana College,Tenure Track/Permanent,“Divine Determinism: A Critical Consideration”,Metaphysics,2012,,,,
Male,"Rutgers University, New Brunswick",Augustana College,Tenure Track/Permanent,Augustana College,Tenure Track/Permanent,Unknown,Philosophy of Mind,2008,Yes,,,
Unknown,Stanford University,Cornell University,Lecturer,Augustana College,Tenure Track/Permanent,Feelings and Emotional Evaluation,Epistemology,2004,,,,
Male,Syracuse University,Aurora Community College,Lecturer,Aurora Community College,Lecturer,"""Putting the Ghost Back in the Machine: A Defense of Common Sense Dualism""",Philosophy of Mind,2013,,,,
Unknown,"University of North Carolina, Chapel Hill",Austin Community College,Tenure Track/Permanent,Austin Community College,Tenured,"Primary and Secondary Qualities: Common Sense, Science, and Berkeley ",Philosophy of Science,1996,,,,
Male,University of Toronto,Austin Community College,Tenured,Austin Community College,Tenured,Reason and the External World:  Malebranche=s Account of our Knowledge of the Existence of Bodies,Epistemology,2006,Yes,,,
Unknown,"University of Texas, Austin",Austin Community College,Tenure Track/Permanent,Austin Community College,Tenured,Unknown,Unknown,1995,,,,
Unknown,"University of Texas, Austin",Austin Community College,Lecturer,Austin Community College,Lecturer,Unknown,Unknown,1995,,,,
Unknown,"University of Texas, Austin",Austin Community College,Lecturer,Austin Community College,Lecturer,Unknown,Unknown,1996,,,,
Male,Carnegie Mellon University,Australia National University,Post Doc/Researcher,Australia National University,Post-doc,,Epistemology,2013,,,,
Male,University of Virginia,"Australian Catholic University, Brisbane",Tenure Track/Permanent,"Australian Catholic University, Brisbane",Tenure Track/Permanent,Unknown,Unknown,2012,,,,
Unknown,Princeton University,Australian National University,Lecturer,Australian National University,Lecturer, color and other illusions: a philosophical theory of vision,Metaphysics,1993,,,,
Male,"University of Colorado, Boulder",Australian National University,Lecturer,Australian National University,Lecturer,"""Developing a New Global Poverty Metric: Toward a Pro-Poor Approach,"" under Alison Jaggar",Social and Political Philosophy,2010,,,,
Female,"University of North Carolina, Chapel Hill",Australian National University,Post Doc/Researcher,Australian National University,Post Doc/Researcher,Seeing Absence ,Metaphysics,2013,,,,
Unknown,Massachusetts Institute of Technology,Australian National University,Tenure Track/Permanent,Australian National University,Tenured,Unknown,Philosophy of Mind,1995,,,,
Male,New York University,Australian National University,Lecturer,Australian National University,Lecturer,Unknown,Philosophy of Mind,2012,,,,
Unknown,"University of Minnesota, Minneapolis-St. Paul",Australian National University,Lecturer,Australian National University,Lecturer,Unknown,Unknown,2012,,,,
Unknown,"University of Texas, Austin",Australian National University,Post Doc/Researcher,Australian National University,Post Doc/Researcher,Unknown,Epistemology,2010,,,,
Female,"Indiana University, Bloomington",Australian National University,Lecturer,Australian National University,Lecturer,Validity and Its Epistemic Role,Epistemology,2004,,,,
Unknown,Princeton University,University of Sheffield,Lecturer,Australian National University,Post Doc/Researcher,the myth of morality,Ethics,1998,,,,
Unknown,Massachusetts Institute of Technology,University of Sydney,Post Doc/Researcher,Australian National University,Tenure Track/Permanent,Unknown,Metaphysics,2009,,,,
Unknown,Princeton University,University of Western Ontario,Tenure Track/Permanent,Australian National University,Post Doc/Researcher,mental representation and closely conflated topics,Philosophy of Mind,2010,,,,
Male,"University of California, San Diego",University of Witwatersrant,Post Doc/Researcher,Australian National University,Post Doc/Researcher,Neugenics: Genetically Informed Reproductive Decision Making,Ethics,2001,,,,
Male,Cornell University,Ave Maria University,Tenure Track/Permanent,Ave Maria University,Tenure Track/Permanent,"Philip the Chancellor, Bonaventure of Bognoregio, and Thomas Aquinas on The Eternity of the World",History of Philosophy,2011,,,,
Female,"University of Massachusetts, Amherst",Unknown,Unknown,Azim Premji University,Tenure Track/Permanent,Unknown,Unknown,2010,,,,
Male,"University of California, Irvine",Orange Coast College,Lecturer,Azuza Pacific University,Lecturer,"""Find Hope in Kierkegaard: Examining The Role and Importance of Hope In Kiergaard’sThought”",Continental Philosophy,2013,,,,
Male,"University Of Illinois, Urbana Champaign",Unknown,Unknown,Bakersfield College,Tenured,Berkeley’s Master Argument: Its Form and Implications,History of Philosophy,2005,,,,
Female,University of Miami,Ball State University,Tenure Track/Permanent,Ball State University,Tenure Track/Permanent,How Can a Multicultural Society Educate its Members for Pluralism?,Social and Political Philosophy,2005,,,,
Female,"Indiana University, Bloomington",Ball State University,Lecturer,Ball State University,Lecturer,The Implications of John Dewey's Ideas for Environmental Ethics,Ethics,1997,,,,
Female,"University Of Illinois, Urbana Champaign",Unknown,Unknown,Ball State University,Lecturer,"Love, Self-Constitution, and Practical Necessity",Ethics,2013,,,,
Male,City University of New York Graduate Center,Bard College,Tenure Track/Permanent,Bard College,Tenure Track/Permanent,"Realism, Anti-Realism, and The Success of Science",Philosophy of Science,2003,,,,
Unknown,Harvard University,Bard College,Tenure Track/Permanent,Bard College,Tenure Track/Permanent,Reasoning as Action,Metaphysics,2010,,,,
Male,University of Chicago,Iona College,Tenure Track/Permanent,Bard College,Tenure Track/Permanent,"Dissertation: ""Prudent Virtues"" Abstract PDF",Ethics,2010,,,,
Unknown,Harvard University,Bar-Ilan University,Tenure Track/Permanent,Bar-Ilan University,Tenure Track/Permanent,Time From the Metaphysical & Anti-metaphysical Perspectives ,Metaphysics,1997,,,,
Male,Columbia University,Barnard College,Lecturer,Barnard College,Tenure Track/Permanent,Childhood in the Liberal Order,Social and Political Philosophy,2012,,,,
Male,New York University,Barnard College,Tenure Track/Permanent,Barnard College,Tenure Track/Permanent,Unknown,Philosophy of Mind,2009,,,,
Female,"Rutgers University, New Brunswick",University of Southern California,Tenure Track/Permanent,Barnard College,Tenure Track/Permanent,Unknown,Philosophy of Language,2011,Yes,,,
Female,"Rutgers University, New Brunswick","Washington University, St. Louis",Lecturer,Barnard College,Lecturer,Unknown,Ethics,2000,Yes,,,
Male,Syracuse University,Barry University,Tenure Track/Permanent,Barry University,Tenure Track/Permanent,"""The Value of Religious Commitments in a Pluralistic Society""",Social and Political Philosophy,2007,,,,
Male,University of Miami,Barry University,Lecturer,Barry University,Lecturer,A Defense of Davidson's Theory of Metaphor.,Philosophy of Language,1999,,,,
Male,University of Miami,Barry University,Lecturer,Barry University,Lecturer,Suarez and Meinong on Beings of Reason and Non-Existent Objects.,Metaphysics,1999,,,,
Male,Harvard University,Bates College,Post Doc/Researcher,Bates College,Post Doc/Researcher,"The Commonwealth as Agent: Group Action, the Common Good, & the General Will",Ethics,2013,,,,
Unknown,Massachusetts Institute of Technology,Bates College,Tenure Track/Permanent,Bates College,Tenure Track/Permanent,Unknown,Metaphysics,2009,,,,
Female,Georgetown University,"University of California, Davis",Lecturer,Bates College,Lecturer,Unknown,Unknown,2000,,,,
Male,Georgetown University,"University of Nevada, Las Vegas",Lecturer,Bates College,Tenure Track/Permanent,Unknown,Unknown,2000,,,,
Unknown,Rice University,Baylor College of Medicine,Tenure Track/Permanent,Baylor College of Medicine,Tenure Track/Permanent,Unknown,Unknown,2009,,,,
Unknown,Yale University,Baylor University,Tenure Track/Permanent,Baylor University,Tenured,Unknown,Unknown,2004,,,,
Male,University of Pittsburgh,Georgetown University,Tenure Track/Permanent,Baylor University,Tenure Track/Permanent,"""Possible worlds: what they are good for and what they are"" (Rescher)",Metaphysics,1999,,,,
Male,Northwestern University,Unknown,Unknown,Baylor University,Tenure Track/Permanent,Quantum Statistical Mechanics and the Ghosts of Modality,Metaphysics,1999,Yes,,,
Male,University of Rochester,Unknown,Unknown,Baylor University,Tenure Track/Permanent,Unknown,Epistemology,2009,Yes,,,
Female,University of Toronto,Beilefelt University,Post Doc/Researcher,Beilefelt University,Post Doc/Researcher,The Epistemology of Measurement: A Model-based Account,Epistemology,2012,Yes,,,
Male,"University of California, Riverside",Bellevue College,Lecturer,Bellevue College,Lecturer,"Hume and Buddhism: A Comparative Study of Personal Identity, Skepticism, and Moral Sentiments",Epistemology,2009,,,,
Female,University of Miami,Bellevue College,Lecturer,Bellevue College,Lecturer,Truth in Philosophy and Fiction,Aesthetics,2010,,,,
Male,"University of California, Davis",Bellevue College,Tenure Track/Permanent,Bellevue College,Tenured,Unknown,Unknown,2002,,,,
Male,Purdue University,University of St. Thomas,Lecturer,Benedictine College,Tenure Track/Permanent,Aristotelian Defense of Leibniz on Mechanism and Teleology,History of Philosophy,2002,,,,
Unknown,"University of California, Irvine",Ben-Gurion University,Tenure Track/Permanent,Ben-Gurion University,Tenure Track/Permanent,"""The Structure of Spinoza's Metaphysics:Attributes, Finite Minds, and the Infinite Intellect""",Philosophy of Mind,2005,,,,
Male,"Washington University, St. Louis",Ben-Gurion University,Post Doc/Researcher,Ben-Gurion University,Post Doc/Researcher,Perception and Nonconceptual Apprehension,Metaphysics,2010,,,,
Male,"Rutgers University, New Brunswick","California State University, Long Beach",Tenure Track/Permanent,Bentley University,Lecturer,Unknown,Ethics,2002,Yes,,,
Male,University of Virginia,Bergen Community College,Tenure Track/Permanent,Bergen Community College,Tenured,Unknown,Unknown,1996,,,,
Male,"Indiana University, Bloomington",Berkshire School,Lecturer,Berkshire School,Lecturer,"Objectivity, Skepticism, and the Realistic Spirit in Ethics",Epistemology,2000,,,,
Male,"University of Michigan, Ann Arbor",Berry College,Lecturer,Berry College,Lecturer,Prospects for a New Account of Time Reversal,Metaphysics,2013,,,,
Male,University of Virginia,Berry College,Tenure Track/Permanent,Berry College,Tenured,Unknown,Unknown,1998,,,,
Male,University of Notre Dame,Bethel College,Tenure Track/Permanent,Bethel College,Tenure Track/Permanent,Diachronic Agency and Narrative Understanding,Metaphysics,2009,,,,
Male,"University Of Illinois, Urbana Champaign",Unknown,Unknown,Bethel College,Tenured,The Rationality of Christian Faith,Epistemology,2000,,,,
Unknown,"University of Missouri, Columbia",Colorado College,Lecturer,Bethune Cookman University,Tenure Track/Permanent,Dissertation Title: A Philosophical Analysis of Four Concepts of Race ,Ethics,2007,,,,
Unknown,Princeton University,Bilkent University,Tenure Track/Permanent,Bilkent University,Tenure Track/Permanent,aspects of consequence,Metaphysics,2013,,,,
Male,University of Arizona,Bilkent University,Tenure Track/Permanent,Bilkent University,Tenure Track/Permanent,The Role of Inference in a Theory of Concepts,Philosophy of Mind,2004,,,,
Unknown,"Indiana University, Bloomington","California State University, San Bernardino",Tenure Track/Permanent,Bilkent University,Tenure Track/Permanent,Error Comes with Imagination: A Probabilistic Theory of Mental Content,Philosophy of Mind,2006,,,,
Male,University of Toronto,European University,Post Doc/Researcher,Bilkent University,Tenure Track/Permanent,Legality and Legitimacy in Hans Kelsen=s Pure Theory of Law,Social and Political Philosophy,2006,Yes,,,
Male,"University of Massachusetts, Amherst",Unknown,Unknown,Bilkent University,Tenure Track/Permanent,Unknown,Unknown,2009,,,,
Male,"Rutgers University, New Brunswick",Binghamton University,Tenure Track/Permanent,Binghamton University,Tenure Track/Permanent,Unknown,Ethics,2001,Yes,,,
Male,University of Chicago,Biola University,Tenure Track/Permanent,Biola University,Tenure Track/Permanent,"Common descent, generative entrenchment, and the epistemology of evolutionary inference (Wimsatt)",Philosophy of Science,1998,,,,
Female,"University of California, San Diego",Biola University,Tenure Track/Permanent,Biola University,Tenure Track/Permanent,The Core Mysteries: Pierre Bayle's Philosophical Fideism,History of Philosophy,2010,,,,
Unknown,"University of Texas, Austin",Biola University,Tenure Track/Permanent,Biola University,Tenure Track/Permanent,Unknown,Unknown,2008,,,,
Unknown,University of Rochester,Unknown,Unknown,Biola University,Tenure Track/Permanent,Unknown,History of Philosophy,1996,Yes,,,
Unknown,University of Pittsburgh,Yale University,Tenure Track/Permanent,Birkbeck College,Tenured,"""Content and confirmation"" (W. Salmon)",Epistemology,1997,,,,
Male,University of Toronto,Oxford University,Lecturer,"Birkbeck College, University of London",Tenured,"Agency, Liberty, Autonomy",Metaphysics,2006,Yes,,,
Unknown,"University of Texas, Austin",Birmingham Southern College,Tenure Track/Permanent,Birmingham Southern College,Tenure Track/Permanent,Unknown,Unknown,1996,,,,
Female,Syracuse University,Black Hawk College,Tenure Track/Permanent,Black Hawk College,Tenure Track/Permanent,"""Personal Identity, Reductionism and Eliminativism""",Metaphysics,2010,,,,
Unknown,Rice University,Blinn College,Lecturer,Blinn College,Lecturer,Unknown,Unknown,2001,,,,
Male,Cornell University,Cornell University,Lecturer,Bloomsburg University,Lecturer,Hard Incompatibilist Challenges to Morality and Autonomy,Ethics,2010,,,,
Unknown,University of Alberta,Dalhousie University,Post Doc/Researcher,Bogazici University,Tenure Track/Permanent,Unknown,Unknown,2001,,,,
Male,University of Pennsylvania,Bilkent University,Tenure Track/Permanent,Bo?aziçi University,Tenured,Unknown,Unknown,2003,,,,
Unknown,Syracuse University,Bo?aziçi University,Tenure Track/Permanent,Bo?aziçi University,Tenure Track/Permanent,"""Composition, Vagueness, and Persistence""",Philosophy of Language,2007,,,,
Male,Syracuse University,Bo?aziçi University,Tenure Track/Permanent,Bo?aziçi University,Tenure Track/Permanent,"""Stuff, Process, and Object: An Examination of Substance and Its Alternatives""",Metaphysics,2005,,,,
Unknown,University of Rochester,Unknown,Unknown,Bo?aziçi University,Lecturer,Unknown,Philosophy of Language,1999,Yes,,,
Male,"Indiana University, Bloomington",Boise State University,Tenure Track/Permanent,Boise State University,Tenure Track/Permanent,A Simple Story About Simple Inquiries: Micro-epistemology and Animal Cognition,Philosophy of Mind,2006,,,,
Male,"Rutgers University, New Brunswick",Boise State University,Tenure Track/Permanent,Boise State University,Tenure Track/Permanent,Unknown,Epistemology,2010,Yes,,,
Unknown,Princeton University,Borough of Manhattan Community College,Lecturer,Borough of Manhattan Community College,Lecturer,music and the representational content of experience,Metaphysics,1998,,,,
Male,Boston University,Boston College,Lecturer,Boston College,Lecturer,“The Legitimate Fruits of Descartes’ Rules”,History of Philosophy,2006,,,,
Female,Boston University,Boston College,Lecturer,Boston College,Lecturer,“The Will in Schopenhauer’s System”,History of Philosophy,2006,,,,
Female,University of Toronto,Boston College,Tenure Track/Permanent,Boston College,Tenure Track/Permanent,Augustine's Theory of Affectivity,History of Philosophy,2002,Yes,,,
Female,University of Notre Dame,Boston College,Lecturer,Boston College,Lecturer,Philosophical Assumptions in U.S. Environmental and Public Health Policy: A Case Study of the Clean Water Act,Ethics,2011,,,,
Male,Johns Hopkins University,Boston College,Tenure Track/Permanent,Boston College,Tenure Track/Permanent,Unknown,Unknown,2012,,,,
Unknown,"University of Texas, Austin",Boston College,Lecturer,Boston College,Lecturer,Unknown,Unknown,2006,,,,
Male,Northwestern University,University of Frankfurt,Post Doc/Researcher,Boston College,Tenure Track/Permanent,"Inheritance, Sovereignty, and Promise: Political Authority and Obligation in an Age of Transformations ",Social and Political Philosophy,2010,Yes,,,
Male,University of Notre Dame,University of Notre Dame,Lecturer,Boston College,Tenure Track/Permanent,Toward a Richer Vocabulary for Epistemic Attitudes: Mapping the Landscape of Cognitive Attitudes,Epistemology,2007,,,,
Male,"University of Michigan, Ann Arbor",Boston University,Post Doc/Researcher,Boston University,Post Doc/Researcher,Problems in the Philosophy of Social Science,Philosophy of Science,1991,,,,
Male,Duke University,Boston University,Tenure Track/Permanent,Boston University,Tenure Track/Permanent,Reading the Book of Life: Contingency and Convergence in Macroevolution,Philosophy of Science,2009,,,,
Male,Cornell University,Boston University,Tenure Track/Permanent,Boston University,Tenure Track/Permanent,The Nature of Predication,Philosophy of Language,2009,,,,
Male,Boston University,Boston University,Lecturer,Boston University,Lecturer,Unknown,Unknown,2012,,,,
Male,University of Southern California,Boston University,Tenure Track/Permanent,Boston University,Tenured,Unknown,Epistemology,2005,,,,
Male,Harvard University,Columbia University,Lecturer,Boston University,Lecturer,Vehicles of Meaning: Essays on Semantic Context-Dependence in Speech & Thought,Philosophy of Language,2007,,,,
Female,"University of North Carolina, Chapel Hill",Tulane University,Tenure Track/Permanent,Boston University,Tenure Track/Permanent,Hobbes on the Right of Self-Defense,History of Philosophy,2005,,,,
Unknown,"University of Illinois, Chicago","University of Illinois, Chicago",Lecturer,Boston University,Lecturer,Foundations of Arithmetical Knowledge,Epistemology,2005,,,,
Male,Harvard University,University of New Mexico ,Tenure Track/Permanent,Boston University,Tenure Track/Permanent,Practical Reason & the Structure of Reflective Agency,Metaphysics,2008,,,,
Unknown,Duke University,Boston University       ,Lecturer,Boston University       ,Lecturer,Unknown,Unknown,2011,,,,
Male,University of Chicago,Bowdoin College,Post Doc/Researcher,Bowdoin College,Post Doc/Researcher,ABD,Unknown,2013,,,,
Unknown,Princeton University,Bowdoin College,Tenure Track/Permanent,Bowdoin College,Tenured,action explanation and the nature of mental states,Philosophy of Mind,1994,,,,
Unknown,University of Pittsburgh,Bowling Green State University,Tenure Track/Permanent,Bowling Green State University,Tenured,"""Subjectivity, real intentionality, and animal minds"" (McDowell)",Philosophy of Mind,1997,,,,
Male,"University of Wisconsin, Madison",Bowling Green State University,Tenure Track/Permanent,Bowling Green State University,Tenure Track/Permanent,“The Levels of Selection and the Functional Organization of Biotic Communities”,Philosophy of Science,2011,,,,
Male,"University of California, Davis",Bowling Green State University ,Tenure Track/Permanent,Bowling Green State University,Tenure Track/Permanent,Unknown,Unknown,2004,,,,
